Maa;Kuukausi;Kuukauden käyttäjäasennukset;Kuukauden käyttäjäasennusten päiväkohtainen keskiarvo;Maan käyttäjäasennukset yhteensä;Maan kaikkien käyttäjäasennusten päiväkohtainen keskiarvo;Kuukauden käyttäjäasennusten päiväkohtaisen keskiarvon ja maan kaikkien käyttäjäasennusten päiväkohtaisen keskiarvon suhde;Lomapäivien osuus;Lomapäivien prosenttiosuus yli 50 %;;;;;;
Algeria;Maaliskuu;11;0,118;569;0,455;0,260;0,000;Ei;;;;;;
Algeria;Huhtikuu;14;0,156;569;0,455;0,342;0,000;Ei;;;;;;
Algeria;Toukokuu;27;0,290;569;0,455;0,638;0,035;Ei;;;;;;
Algeria;Kesäkuu;18;0,196;569;0,455;0,430;0,020;Ei;;;;;;
Algeria;Heinäkuu;6;0,048;569;0,455;0,106;0,897;Kyllä;;;;;;
Algeria;Elokuu;21;0,169;569;0,455;0,372;1,000;Kyllä;;;;;;
Algeria;Syyskuu;18;0,150;569;0,455;0,330;0,153;Ei;;;;;;
Algeria;Lokakuu;181;1,460;569;0,455;3,209;0,035;Ei;;;;;;
Algeria;Marraskuu;203;1,692;569;0,455;3,719;0,063;Ei;;;;;;
Algeria;Joulukuu;45;0,484;569;0,455;1,064;0,013;Ei;;;;;;
Korean tasavalta;Tammikuu;25;0,269;522;0,417;0,644;0,987;Kyllä;;;;;;
Korean tasavalta;Helmikuu;19;0,224;522;0,417;0,536;0,078;Ei;;;;;;
Korean tasavalta;Maaliskuu;218;2,344;522;0,417;5,618;0,032;Ei;;;;;;
Korean tasavalta;Huhtikuu;97;1,078;522;0,417;2,583;0,003;Ei;;;;;;
Korean tasavalta;Toukokuu;35;0,376;522;0,417;0,902;0,110;Ei;;;;;;
Korean tasavalta;Kesäkuu;17;0,185;522;0,417;0,443;0,037;Ei;;;;;;
Korean tasavalta;Heinäkuu;30;0,242;522;0,417;0,580;0,248;Ei;;;;;;
Korean tasavalta;Elokuu;19;0,153;522;0,417;0,367;0,997;Kyllä;;;;;;
Korean tasavalta;Syyskuu;18;0,150;522;0,417;0,359;0,123;Ei;;;;;;
Korean tasavalta;Lokakuu;20;0,161;522;0,417;0,387;0,068;Ei;;;;;;
